Decade,RegionTag,TemperatureAnomaly
1900,Global,-0.13178984249567352
1900,South Asia,-0.2289031412545132
1910,Global,0.05387172371754238
1910,South Asia,-0.06683222619643772
1920,Global,0.15689727029815587
1920,South Asia,0.09627818475026684
1930,Global,0.26797943914481226
1930,South Asia,0.020086315830693507
1940,Global,0.24924546219134358
1940,South Asia,0.23317771355240555
1950,Global,0.20632615232596066
1950,South Asia,0.2558803108609243
1960,Global,0.1719954344526628
1960,South Asia,0.13905657192462306
1970,Global,0.17385565332347105
1970,South Asia,0.1560516352345964
1980,Global,0.2955833347499156
1980,South Asia,0.36574948733176943
1990,Global,0.5820391989201341
1990,South Asia,0.3684439846757211
2000,Global,0.7867020271097777
2000,South Asia,0.617820603561831
2010,Global,0.696324347433011
2010,South Asia,0.5637943812301512
